ID đơn hàng,ID sản phẩm,Tên sản phẩm,Sku,Id Sku,Sku người bán,Giá,Payment Amount,Đơn vị tiền tệ,Số lượng,Phương thức thanh toán,Trạng thái đơn hàng,Tên người dùng nhà sáng tạo,Loại nội dung,Id nội dung,commission model,Tỷ lệ khấu trừ Thuế TNCN,Thuế TNCN ước tính,Thuế TNCN thực tế ,Tỷ lệ hoa hồng tiêu chuẩn,Cơ sở hoa hồng ước tính,Thanh toán hoa hồng tiêu chuẩn ước tính,Cơ sở hoa hồng thực tế,Thanh toán hoa hồng thực tế,Tỷ lệ hoa hồng Quảng cáo cửa hàng,Thanh toán hoa hồng Quảng cáo cửa hàng ước tính,Thanh toán hoa hồng Quảng cáo cửa hàng thực tế,Thưởng đồng chi trả cho nhà sáng tạo ước tính,Thưởng đồng chi trả cho nhà sáng tạo thực tế,Trả hàng & hoàn tiền,Hoàn tiền,Thời gian đã tạo,Thời gian thanh toán,Thời gian sẵn sàng vận chuyển,Order Delivery Time,Thời gian hoàn thành đơn hàng,Thời gian hoa hồng đã thanh toán,Platform,agreement_type
580807314868701072,1732717094709003832,"o thun cặp đôi BY.DUNI form rộng oversize nam nữ Local Brand tay lỡ unisex, áo cặp bạn thân vải cotton MẢNH GHÉP TRÁI TIM","OVS- E.Green- Đen, L",1732716931438904888,,184500,252000,VND,1,Thanh toán khi giao hàng,Đang xử lý,tiemdodoi.duni,Video,7562107991940435207,fixed commission,,,,,184500,,,,,,,,,0,0,17/10/2025 19:22:37,19/10/2025 18:39:16,17/10/2025 19:22:38,19/10/2025 18:39:16,,,TTS,Open/Target Collaboration
580807314868701072,1732717094709003832,"o thun cặp đôi BY.DUNI form rộng oversize nam nữ Local Brand tay lỡ unisex, áo cặp bạn thân vải cotton MẢNH GHÉP TRÁI TIM","OVS- E.Green- Trắng, S",1732716931439101496,,184500,252000,VND,1,Thanh toán khi giao hàng,Đang xử lý,tiemdodoi.duni,Video,7562107991940435207,fixed commission,,,,,184500,,,,,,,,,0,0,17/10/2025 19:22:37,19/10/2025 18:39:16,17/10/2025 19:22:38,19/10/2025 18:39:16,,,TTS,Open/Target Collaboration
580807291357660692,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ A- Đen, XS (dưới 50kg)",1732878574091339320,,199950,275200,VND,1,Không áp dụng thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7546958293659340050,fixed commission,,,,,199950,,,,5,9998,,,,0,0,17/10/2025 19:23:02,17/10/2025 19:23:07,17/10/2025 19:23:09,20/10/2025 18:59:52,,,TTS,Open/Target Collaboration
580807356192359484,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Đen, XS (dưới 50kg)",1732878574093698616,,215000,259000,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7546958293659340050,fixed commission,0,0,0,,215000,,,,5,10750,,,,0,0,17/10/2025 19:25:18,,17/10/2025 19:25:21,,,,TTS,Open/Target Collaboration
580807490890400928,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ H- Trắng, S (dưới 60kg)",1732878549686519352,,193500,262600,VND,1,Không áp dụng thanh toán khi giao hàng,Đang xử lý,lamyeumeynhattrandoi,Video,7559584920985718023,fixed commission,,,,10,193500,19350,,,,,,,,0,0,17/10/2025 19:38:01,17/10/2025 19:38:07,17/10/2025 19:38:08,,,,TTS,Open/Target Collaboration
580807490890400928,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Trắng, L (dưới 90kg)",1732878721659471416,,193500,262600,VND,1,Không áp dụng thanh toán khi giao hàng,Đang xử lý,lamyeumeynhattrandoi,Video,7559584920985718023,fixed commission,,,,10,193500,19350,,,,,,,,0,0,17/10/2025 19:38:01,17/10/2025 19:38:07,17/10/2025 19:38:08,,,,TTS,Open/Target Collaboration
580807507924387646,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Trắng, XS (dưới 50kg)",1732878574089766456,,187050,275200,VND,1,Không áp dụng thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,,187050,,,,5,9353,,,,0,0,17/10/2025 19:40:36,17/10/2025 19:40:56,17/10/2025 19:40:57,20/10/2025 09:48:24,,,TTS,Open/Target Collaboration
580807705125356843,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Trắng, S (dưới 60kg)",1732878574089831992,,199950,285000,VND,1,Thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,0,0,0,10,199950,19995,,,,,,,,0,0,17/10/2025 19:56:15,,17/10/2025 19:56:16,,,,TTS,Open/Target Collaboration
580807896273356542,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ N- Đen, S (dưới 60kg)",1732878574092977720,,187050,265000,VND,1,Thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,10,187050,18705,,,,,,,,0,0,17/10/2025 20:12:53,19/10/2025 14:55:44,17/10/2025 20:12:55,19/10/2025 14:55:44,,,TTS,Open/Target Collaboration
580807896273356542,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ K- Đen, XS (dưới 50kg)",1732878574094091832,,187050,265000,VND,1,Thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,10,187050,18705,,,,,,,,0,0,17/10/2025 20:12:53,19/10/2025 14:55:44,17/10/2025 20:12:55,19/10/2025 14:55:44,,,TTS,Open/Target Collaboration
